epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.513,1.43964,4.89575,1.89741,0.71851,0.14535,0.07539,0.02308,1.85704,6.06311,2.51579,0.000331288,0.000331288,0.000331288
2,208.938,1.38785,4.00108,1.84583,0.8814,0.10494,0.10148,0.04841,1.55386,4.27003,2.15319,0.000660235,0.000660235,0.000660235
3,310.602,1.43622,3.42939,1.90643,0.5591,0.20019,0.09205,0.03841,1.58587,5.2436,2.31502,0.000984782,0.000984782,0.000984782
4,417.688,1.48709,3.25661,1.92469,0.77325,0.17846,0.12059,0.05117,1.73092,4.15146,2.33546,0.0009802,0.0009802,0.0009802
5,524.93,1.47696,3.0936,1.89784,0.76489,0.10013,0.13115,0.0565,1.58451,3.12883,2.17527,0.0009736,0.0009736,0.0009736
6,630.961,1.44141,2.91239,1.86772,0.61877,0.24754,0.19821,0.09937,1.50577,3.61373,2.06791,0.000967,0.000967,0.000967
7,728.51,1.4034,2.94668,1.84606,0.7928,0.17983,0.18779,0.09209,1.54489,3.11658,2.04044,0.0009604,0.0009604,0.0009604
8,826.412,1.37319,2.84446,1.78975,0.75299,0.23167,0.17847,0.07453,1.6726,2.69578,2.20411,0.0009538,0.0009538,0.0009538
9,924.007,1.33945,2.83285,1.80488,0.8234,0.19714,0.23075,0.1166,1.44745,3.00866,1.93415,0.0009472,0.0009472,0.0009472
10,1022.87,1.30695,2.75039,1.74098,0.79802,0.23283,0.2388,0.14519,1.40315,2.69748,1.89763,0.0009406,0.0009406,0.0009406
11,1120.91,1.28292,2.68591,1.736,0.82567,0.21547,0.24803,0.08533,1.93226,2.57633,2.46732,0.000934,0.000934,0.000934
12,1218.48,1.29227,2.75652,1.74924,0.80572,0.2258,0.21041,0.11356,1.46916,2.97939,2.0756,0.0009274,0.0009274,0.0009274
13,1315.5,1.27576,2.65074,1.7213,0.32253,0.27962,0.1831,0.11473,1.23486,2.44954,1.70159,0.0009208,0.0009208,0.0009208
14,1415.74,1.27341,2.61048,1.72157,0.31229,0.3728,0.24491,0.11447,1.67855,2.68247,2.18082,0.0009142,0.0009142,0.0009142
15,1522.46,1.22977,2.57495,1.70209,0.38624,0.37495,0.27481,0.12051,1.84199,2.43136,2.5186,0.0009076,0.0009076,0.0009076
16,1629.37,1.2466,2.59108,1.70308,0.40411,0.32108,0.24041,0.14394,1.36609,2.70314,1.81807,0.000901,0.000901,0.000901
17,1735.22,1.25182,2.59637,1.71193,0.33695,0.38637,0.25639,0.12109,1.6539,2.24051,2.10197,0.0008944,0.0008944,0.0008944
18,1841.92,1.24206,2.53494,1.69464,0.37253,0.46876,0.29693,0.17636,1.33427,2.88442,1.7919,0.0008878,0.0008878,0.0008878
19,1949.4,1.24197,2.60727,1.69761,0.40868,0.4112,0.29136,0.1874,1.27959,2.30103,1.73121,0.0008812,0.0008812,0.0008812
20,2052.51,1.19606,2.43259,1.65087,0.45988,0.29011,0.30019,0.16616,1.39528,2.42854,1.92664,0.0008746,0.0008746,0.0008746
21,2149.23,1.19423,2.47372,1.6601,0.38332,0.35005,0.3108,0.1941,1.26474,2.22688,1.76505,0.000868,0.000868,0.000868
22,2250.37,1.19938,2.45155,1.67446,0.32565,0.49279,0.35977,0.21138,1.36966,2.1259,1.80357,0.0008614,0.0008614,0.0008614
23,2347.35,1.19671,2.49497,1.6499,0.39642,0.45881,0.36523,0.22968,1.3845,2.09349,1.81649,0.0008548,0.0008548,0.0008548
24,2444.93,1.20204,2.44206,1.65729,0.3748,0.39312,0.31223,0.16316,1.53843,2.39022,1.96795,0.0008482,0.0008482,0.0008482
25,2543.85,1.18996,2.46055,1.6503,0.42152,0.46722,0.36828,0.23583,1.21846,2.46282,1.61758,0.0008416,0.0008416,0.0008416
26,2642.41,1.14735,2.38647,1.60775,0.43852,0.46973,0.34943,0.20981,1.26998,2.25071,1.73039,0.000835,0.000835,0.000835
27,2741.92,1.16153,2.39382,1.63562,0.4399,0.45623,0.34921,0.21015,1.26994,2.21632,1.74514,0.0008284,0.0008284,0.0008284
28,2840.21,1.13783,2.36387,1.62,0.30171,0.5253,0.37127,0.22743,1.33626,1.9947,1.75938,0.0008218,0.0008218,0.0008218
29,2941.45,1.15157,2.3683,1.60749,0.39171,0.43963,0.3712,0.24461,1.20852,2.12381,1.68382,0.0008152,0.0008152,0.0008152
30,3039.84,1.13791,2.28861,1.62485,0.29411,0.52974,0.43924,0.23921,1.45876,2.12613,1.8365,0.0008086,0.0008086,0.0008086
31,3136.55,1.12038,2.35988,1.59804,0.33159,0.44741,0.41104,0.28507,1.05858,1.92174,1.53327,0.000802,0.000802,0.000802
32,3232.97,1.12576,2.3107,1.60223,0.34995,0.5197,0.45143,0.31682,1.0464,1.90361,1.49566,0.0007954,0.0007954,0.0007954
33,3329.44,1.13112,2.33254,1.62257,0.32934,0.4945,0.39016,0.27051,1.03051,1.92024,1.4834,0.0007888,0.0007888,0.0007888
34,3427.05,1.11684,2.3301,1.59328,0.35272,0.55828,0.43274,0.2949,1.04064,2.002,1.5065,0.0007822,0.0007822,0.0007822
35,3523.9,1.10174,2.29411,1.57607,0.40252,0.55664,0.46978,0.32841,1.01222,1.8054,1.48602,0.0007756,0.0007756,0.0007756
36,3620.34,1.15025,2.27199,1.61057,0.36727,0.5351,0.45705,0.30632,1.1108,1.96121,1.54694,0.000769,0.000769,0.000769
37,3718.35,1.11564,2.31184,1.59943,0.43231,0.48521,0.48489,0.33945,1.06862,1.77584,1.51255,0.0007624,0.0007624,0.0007624
38,3814.91,1.07519,2.2247,1.57448,0.3598,0.56778,0.43712,0.2973,1.10669,1.82935,1.58355,0.0007558,0.0007558,0.0007558
39,3912.72,1.10169,2.2899,1.58536,0.46337,0.51784,0.45841,0.30124,1.16339,1.89798,1.56933,0.0007492,0.0007492,0.0007492
40,4012.17,1.1284,2.22708,1.60002,0.36304,0.56945,0.44709,0.30776,1.03192,1.90062,1.47955,0.0007426,0.0007426,0.0007426
41,4112.92,1.09934,2.19156,1.57288,0.34332,0.55817,0.44856,0.33672,0.9028,2.04372,1.3917,0.000736,0.000736,0.000736
42,4211.31,1.06992,2.20194,1.55853,0.45996,0.52378,0.48639,0.34006,1.04725,1.85301,1.45256,0.0007294,0.0007294,0.0007294
43,4311.1,1.04071,2.11276,1.54483,0.33512,0.62205,0.47509,0.34582,0.94824,1.70489,1.43949,0.0007228,0.0007228,0.0007228
44,4407.33,1.08125,2.19786,1.57793,0.38007,0.62122,0.53537,0.394,0.95142,1.61557,1.41345,0.0007162,0.0007162,0.0007162
45,4505.31,1.05999,2.18035,1.55518,0.40542,0.50949,0.46387,0.34162,0.90675,1.79859,1.39738,0.0007096,0.0007096,0.0007096
46,4602.11,1.05548,2.1796,1.56327,0.40205,0.54782,0.49531,0.34557,1.05005,1.67636,1.49033,0.000703,0.000703,0.000703
47,4700.02,1.07302,2.17833,1.56311,0.37893,0.59271,0.50824,0.33789,1.14275,1.66314,1.59869,0.0006964,0.0006964,0.0006964
48,4796.12,1.0808,2.15049,1.56085,0.40945,0.5986,0.51322,0.36724,1.01801,1.74229,1.4743,0.0006898,0.0006898,0.0006898
49,4895.06,1.04517,2.08234,1.52888,0.38414,0.61904,0.50574,0.37386,0.96162,1.75375,1.40895,0.0006832,0.0006832,0.0006832
50,4991.86,1.03698,2.08822,1.51934,0.38257,0.61834,0.53658,0.38043,0.97308,1.57913,1.43359,0.0006766,0.0006766,0.0006766
51,5088.23,1.00743,2.05913,1.51364,0.53845,0.58771,0.54843,0.41533,0.85582,1.63223,1.32192,0.00067,0.00067,0.00067
52,5187.68,1.07307,2.1626,1.56186,0.54512,0.58896,0.54566,0.38487,0.98889,1.67906,1.42721,0.0006634,0.0006634,0.0006634
53,5287.7,1.04904,2.09231,1.54091,0.65847,0.51129,0.58236,0.42858,0.90104,1.64031,1.38486,0.0006568,0.0006568,0.0006568
54,5385.42,1.03207,2.13035,1.52226,0.44694,0.61248,0.56779,0.40329,0.98374,1.66621,1.42499,0.0006502,0.0006502,0.0006502
55,5484.05,1.03949,2.09763,1.5343,0.45747,0.63318,0.55712,0.40001,1.01564,1.62758,1.47518,0.0006436,0.0006436,0.0006436
56,5582.19,1.02559,2.04289,1.50954,0.49966,0.634,0.56628,0.41525,0.96245,1.55108,1.37463,0.000637,0.000637,0.000637
57,5680.02,1.02372,2.04459,1.5265,0.46438,0.61247,0.56683,0.43081,0.87469,1.49949,1.34758,0.0006304,0.0006304,0.0006304
58,5778.38,1.03708,2.07176,1.53927,0.48885,0.6691,0.59799,0.43058,0.97311,1.53877,1.39587,0.0006238,0.0006238,0.0006238
59,5875.13,1.00702,2.05213,1.48889,0.46272,0.54594,0.52343,0.39597,0.85947,1.79133,1.30848,0.0006172,0.0006172,0.0006172
60,5973.84,0.99487,2.0314,1.50517,0.49106,0.63728,0.59568,0.38009,1.26912,1.61907,1.68532,0.0006106,0.0006106,0.0006106
61,6072.58,1.01807,2.04415,1.51074,0.45585,0.66138,0.59357,0.42761,0.93357,1.63018,1.34847,0.000604,0.000604,0.000604
62,6170.56,1.03147,2.11398,1.52323,0.52661,0.6466,0.61391,0.42454,1.06228,1.52568,1.47709,0.0005974,0.0005974,0.0005974
