epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,77.555,1.07864,1.07011,1.41244,0.88108,0.65,0.79699,0.28816,2.02096,1.89974,3.30815,0.0014456,0.0014456,0.0014456
44,79.2785,1.21522,1.11813,1.51137,0.92852,0.75,0.86921,0.42649,1.74383,1.6276,2.92714,0.0014324,0.0014324,0.0014324
45,81.0084,1.10547,0.982,1.38897,0.97312,0.85,0.90067,0.45196,1.60228,1.44251,2.54071,0.0014192,0.0014192,0.0014192
46,82.7723,0.99396,0.92908,1.38157,0.89132,0.85,0.87715,0.47831,1.65209,1.43201,2.57669,0.001406,0.001406,0.001406
47,84.511,1.27583,1.11247,1.53752,1,0.82587,0.86249,0.41008,1.88594,1.34802,2.909,0.0013928,0.0013928,0.0013928
48,86.2342,1.07302,0.9268,1.32245,0.94091,0.79635,0.86269,0.40305,1.84553,1.22807,2.83803,0.0013796,0.0013796,0.0013796
49,88.0259,1.09856,0.97921,1.37668,0.93691,0.74288,0.8528,0.43709,1.68096,1.19819,2.39729,0.0013664,0.0013664,0.0013664
50,89.8229,1.08968,0.99534,1.42858,0.86311,0.7,0.80578,0.43246,1.61466,1.40503,2.28987,0.0013532,0.0013532,0.0013532
51,91.6025,1.05893,0.95626,1.36884,0.92028,0.6,0.7528,0.38772,1.71898,1.41008,2.35271,0.00134,0.00134,0.00134
52,93.5044,1.13624,0.98619,1.40858,0.90064,0.6,0.80747,0.38715,1.84733,1.4238,2.44293,0.0013268,0.0013268,0.0013268
53,95.1916,1.0504,0.94564,1.3231,0.80848,0.7,0.77179,0.36931,1.78462,1.37372,2.31957,0.0013136,0.0013136,0.0013136
54,96.9273,1.19359,1.0287,1.48519,0.85755,0.65,0.6902,0.33927,1.75759,1.34015,2.34892,0.0013004,0.0013004,0.0013004
55,98.6827,0.91532,0.8626,1.29487,0.8735,0.55,0.71154,0.36259,1.81753,1.2763,2.40814,0.0012872,0.0012872,0.0012872
56,100.429,1.0674,0.98165,1.35178,0.97535,0.55,0.69841,0.336,1.89427,1.24149,2.43591,0.001274,0.001274,0.001274
57,102.119,1.00045,0.97132,1.36032,0.8415,0.55,0.66415,0.3241,1.80711,1.39684,2.34216,0.0012608,0.0012608,0.0012608
58,104.008,1.14164,1.02582,1.35848,0.59357,0.6,0.59923,0.29872,1.83258,1.5397,2.29946,0.0012476,0.0012476,0.0012476
59,105.733,1.07584,1.04261,1.37331,0.76282,0.65,0.69301,0.35283,1.66764,1.44724,2.14176,0.0012344,0.0012344,0.0012344
60,107.417,1.00591,0.89136,1.29834,0.81849,0.75,0.8102,0.45049,1.57469,1.26132,2.12209,0.0012212,0.0012212,0.0012212
61,109.28,1.07346,0.91162,1.33464,0.7069,0.84434,0.79264,0.42659,1.60813,1.14714,2.24806,0.001208,0.001208,0.001208
62,111.196,1.04034,0.88359,1.30661,0.94124,0.80094,0.86917,0.45044,1.61,1.05964,2.20191,0.0011948,0.0011948,0.0011948
63,112.899,0.96424,0.79233,1.2552,0.98588,0.8,0.85729,0.4659,1.62556,0.98924,2.27505,0.0011816,0.0011816,0.0011816
64,114.795,0.98143,0.82433,1.30301,0.98033,0.8,0.84454,0.45434,1.70733,1.07925,2.38412,0.0011684,0.0011684,0.0011684
65,116.609,0.9238,0.84931,1.32443,0.94044,0.85,0.8452,0.43423,1.75859,1.06295,2.48745,0.0011552,0.0011552,0.0011552
66,118.341,0.97162,0.77351,1.26905,0.88366,0.8,0.77767,0.41826,1.79704,1.12962,2.55692,0.001142,0.001142,0.001142
67,120.281,0.93691,0.76921,1.25451,0.88235,0.85,0.8515,0.41834,1.79584,1.14206,2.64056,0.0011288,0.0011288,0.0011288
68,122.039,0.99715,0.89525,1.3368,0.84961,0.85,0.81877,0.40986,1.88388,1.11723,2.71979,0.0011156,0.0011156,0.0011156
69,123.936,1.04541,0.92233,1.38791,0.88134,0.74311,0.75899,0.36545,2.07946,1.26373,2.883,0.0011024,0.0011024,0.0011024
70,125.745,0.9346,0.78847,1.27393,0.666,0.698,0.62548,0.29617,2.27083,1.39393,3.083,0.0010892,0.0010892,0.0010892
71,127.516,0.98,0.82301,1.27315,0.65117,0.5,0.48663,0.18559,2.26858,1.97683,2.95229,0.001076,0.001076,0.001076
72,129.389,0.9598,0.81692,1.28081,0.47688,0.27457,0.39789,0.14789,2.21305,2.48911,2.80987,0.0010628,0.0010628,0.0010628
73,131.261,1.11121,0.95337,1.36928,0.41423,0.25,0.27502,0.10696,2.14485,2.64153,2.66486,0.0010496,0.0010496,0.0010496
74,133.092,0.99461,0.79544,1.31467,0.63768,0.44058,0.42527,0.15762,2.15608,2.35251,2.63067,0.0010364,0.0010364,0.0010364
75,135.14,1.01967,0.85878,1.3583,0.84545,0.45,0.56547,0.25593,2.05586,1.93076,2.64157,0.0010232,0.0010232,0.0010232
76,137.013,0.91533,0.74714,1.23244,0.77519,0.7,0.7177,0.35017,1.98156,1.50774,2.63358,0.00101,0.00101,0.00101
77,138.892,0.82619,0.67723,1.24823,0.81746,0.7,0.75251,0.35669,2.02723,1.44067,2.81399,0.0009968,0.0009968,0.0009968
78,140.888,0.85177,0.74049,1.25239,0.82274,0.69642,0.7258,0.32999,2.17924,1.42611,3.08579,0.0009836,0.0009836,0.0009836
79,142.705,0.77844,0.68787,1.21765,0.68408,0.75,0.72838,0.32086,2.12125,1.46013,3.06775,0.0009704,0.0009704,0.0009704
80,144.462,0.89993,0.73072,1.26209,0.91792,0.55978,0.71963,0.31926,2.11837,1.48381,3.01103,0.0009572,0.0009572,0.0009572
81,146.352,0.8649,0.68889,1.18745,1,0.58377,0.7638,0.34595,2.02316,1.3985,2.86015,0.000944,0.000944,0.000944
82,148.092,0.9603,0.76027,1.22885,0.88086,0.73984,0.83238,0.36831,1.87683,1.18991,2.66881,0.0009308,0.0009308,0.0009308
83,149.943,0.93655,0.71118,1.32139,0.81439,0.75,0.82633,0.3794,1.83689,1.18496,2.63147,0.0009176,0.0009176,0.0009176
84,151.861,0.88212,0.76437,1.19457,0.82212,0.8,0.8304,0.40075,1.78278,1.22301,2.55388,0.0009044,0.0009044,0.0009044
85,153.744,0.93378,0.78936,1.28137,0.93206,0.8,0.85856,0.42445,1.71944,1.12303,2.51432,0.0008912,0.0008912,0.0008912
86,155.503,0.81472,0.66777,1.18519,0.99247,0.85,0.88612,0.46738,1.59693,1.01538,2.34933,0.000878,0.000878,0.000878
87,157.397,0.90097,0.73233,1.25987,0.94409,0.84455,0.91871,0.46755,1.58019,0.94923,2.28705,0.0008648,0.0008648,0.0008648
88,159.105,0.93451,0.74388,1.25252,0.90293,0.93076,0.93137,0.47241,1.55061,1.01227,2.09962,0.0008516,0.0008516,0.0008516
89,160.89,0.84074,0.67933,1.23245,0.87063,0.9,0.92398,0.51247,1.54746,0.96217,2.03134,0.0008384,0.0008384,0.0008384
90,162.626,0.88605,0.77986,1.26785,1,0.7377,0.91486,0.4883,1.52079,0.89553,2.02757,0.0008252,0.0008252,0.0008252
91,164.604,0.886,0.70857,1.21375,0.92984,0.9,0.92616,0.49087,1.57853,0.84939,2.14798,0.000812,0.000812,0.000812
92,166.581,0.8297,0.6898,1.17939,0.88785,0.79205,0.8613,0.47467,1.56073,0.86765,2.14101,0.0007988,0.0007988,0.0007988
93,168.321,0.81648,0.71814,1.22375,0.80525,0.82754,0.85543,0.49456,1.50858,0.86113,2.10318,0.0007856,0.0007856,0.0007856
94,170.047,0.78662,0.6386,1.23167,0.99774,0.9,0.93788,0.51386,1.48205,0.82169,2.10892,0.0007724,0.0007724,0.0007724
95,171.863,0.81178,0.60221,1.17306,1,0.74695,0.91277,0.50097,1.47514,0.87862,2.12529,0.0007592,0.0007592,0.0007592
96,173.581,0.78949,0.66044,1.16376,0.85144,0.9,0.92908,0.50815,1.41821,0.89354,2.05037,0.000746,0.000746,0.000746
97,175.394,0.83752,0.6959,1.17767,0.93143,0.85,0.92507,0.51289,1.40688,0.96916,1.99393,0.0007328,0.0007328,0.0007328
98,177.264,0.79141,0.65709,1.17905,0.88752,0.8,0.8328,0.50619,1.3979,1.03363,2.01386,0.0007196,0.0007196,0.0007196
99,179.124,0.84094,0.67561,1.17719,0.93181,0.75,0.80999,0.50188,1.4092,1.06396,2.06185,0.0007064,0.0007064,0.0007064
100,181.034,0.79568,0.69073,1.17876,0.93655,0.73855,0.80616,0.50094,1.45609,1.07257,2.12559,0.0006932,0.0006932,0.0006932
101,182.8,0.86448,0.7208,1.28902,0.93697,0.7436,0.80109,0.46668,1.54435,1.11181,2.18847,0.00068,0.00068,0.00068
102,184.457,0.80531,0.65242,1.15981,0.87829,0.75,0.79612,0.49422,1.52726,1.13247,2.15122,0.0006668,0.0006668,0.0006668
103,186.137,0.68302,0.59132,1.13244,0.93692,0.7431,0.81017,0.47783,1.50415,1.12925,2.11483,0.0006536,0.0006536,0.0006536
104,187.951,0.68473,0.59649,1.13976,0.88797,0.7,0.77685,0.46151,1.58768,1.08789,2.15292,0.0006404,0.0006404,0.0006404
105,189.625,0.80066,0.65714,1.16837,0.82857,0.75,0.74827,0.46094,1.61027,1.04035,2.14721,0.0006272,0.0006272,0.0006272
106,191.343,0.73809,0.6185,1.14787,0.8294,0.75,0.74445,0.42196,1.70966,1.08761,2.24801,0.000614,0.000614,0.000614
107,193.148,0.68532,0.57621,1.14023,0.82896,0.75,0.75101,0.41878,1.69855,1.07394,2.30586,0.0006008,0.0006008,0.0006008
108,194.87,0.78024,0.58104,1.15783,0.88116,0.74187,0.75953,0.43993,1.67139,1.00273,2.30243,0.0005876,0.0005876,0.0005876
109,196.524,0.73569,0.58368,1.13794,0.87507,0.75,0.78421,0.46527,1.64704,1.00084,2.20479,0.0005744,0.0005744,0.0005744
110,198.5,0.66725,0.56248,1.11798,0.93891,0.85,0.87932,0.49543,1.5688,0.93155,2.11445,0.0005612,0.0005612,0.0005612
111,200.245,0.78493,0.60793,1.1996,0.92372,0.85,0.87865,0.50109,1.50508,0.8979,2.04842,0.000548,0.000548,0.000548
112,202.003,0.74383,0.57553,1.16184,0.93247,0.85,0.88136,0.51521,1.46344,0.89538,2.00424,0.0005348,0.0005348,0.0005348
113,203.881,0.83108,0.61835,1.2298,0.88753,0.85,0.87416,0.50273,1.43444,0.87096,1.96943,0.0005216,0.0005216,0.0005216
114,205.623,0.74014,0.5898,1.12213,0.93308,0.85,0.88347,0.52049,1.42766,0.83774,1.95211,0.0005084,0.0005084,0.0005084
115,207.369,0.74411,0.61575,1.16317,0.93821,0.85,0.88573,0.504,1.44602,0.87715,1.96641,0.0004952,0.0004952,0.0004952
116,209.222,0.74602,0.58424,1.16429,0.94063,0.85,0.90966,0.543,1.40307,0.9053,1.91989,0.000482,0.000482,0.000482
117,210.971,0.68011,0.54228,1.12559,0.99809,0.85,0.91036,0.54986,1.39526,0.94802,1.89546,0.0004688,0.0004688,0.0004688
118,212.716,0.69725,0.55194,1.10469,0.94142,0.85,0.91229,0.5427,1.46733,0.92917,2.01381,0.0004556,0.0004556,0.0004556
119,214.472,0.65215,0.55351,1.11269,0.93653,0.8,0.85832,0.49847,1.51843,0.97039,2.15081,0.0004424,0.0004424,0.0004424
120,216.287,0.73749,0.5425,1.11175,0.935,0.8,0.85171,0.50601,1.54796,0.99053,2.18891,0.0004292,0.0004292,0.0004292
121,218.12,0.70703,0.61126,1.15531,0.98854,0.85,0.95366,0.51957,1.57069,1.00251,2.23145,0.000416,0.000416,0.000416
122,219.956,0.68333,0.57603,1.11111,0.94723,0.89763,0.9703,0.53908,1.55782,1.01866,2.20907,0.0004028,0.0004028,0.0004028
123,221.736,0.6879,0.64311,1.12142,0.94719,0.89694,0.95855,0.53123,1.55384,0.93812,2.25516,0.0003896,0.0003896,0.0003896
