Stem,Status,Description,LineData
121_PNG.rf.5d8576a0879c440bb2c67a33ffc9f2a0,VALID,,
121_PNG.rf.e18668ee4356a59c90682b35aa20d392,VALID,,
121_PNG.rf.f81e51a4107cd8ff3ce7b0ae349d9ac5,VALID,,
122_jpg.rf.92612dcc48b9edd10d0c7f427f797d39,VALID,,
122_PNG.rf.27ee1445f9b1a1c8b8d5d92d6ebe41cb,VALID,,
122_PNG.rf.be22c64885cc355aa57c0c7dbb23c088,VALID,,
123_jpg.rf.71f3faa74c035a4cf7e4294527bf5fe8,VALID,,
123_jpg.rf.ffdd6bbbc8ab699121431a890ed51fef,VALID,,
123_PNG.rf.23cd314c7ca1909330c421d9f31f4e73,VALID,,
123_PNG.rf.d9d591c40a05401248b9fece3d1b9fb7,VALID,,
124_jpg.rf.eaa11122e8aacc73c46218dbdbc5f847,VALID,,
124_PNG.rf.43fa69bb64192be8594766e0aec0a936,VALID,,
125_jpg.rf.492d7c69c45f1cb63ad21d7e9a9892ee,VALID,,
125_jpg.rf.b10680617c104c651b2be6fcc01e4ed4,VALID,,
125_PNG.rf.5393e3ba10015d1920207001ddddf3dd,VALID,,
125_PNG.rf.df89a516726d2a870d2fc426f2d5df06,VALID,,
125_PNG.rf.e8031fb290877dcf5d1ed1940ac5655b,VALID,,
126_jpg.rf.fbfe16c181b48b4af2094a65e3bbf39e,VALID,,
126_PNG.rf.7bea6b4e5e6f02c3ad753a1b22effd53,VALID,,
126_PNG.rf.fc495fd45ed213820ee49bd25876d5d5,VALID,,
127_jpg.rf.e3a70b85f4c634ba5635adea511b610d,VALID,,
127_jpg.rf.f2fe45a41dce7a87246342aa5d302d08,VALID,,
127_PNG.rf.611d7d1ba6fe88c75c64daec1fcc563c,VALID,,
128_PNG.rf.452c619160f495fdcc074f074c700a2b,VALID,,
128_PNG.rf.9246cc81bbf92bd6e68ad94b66cfe44c,VALID,,
129_jpg.rf.44b2f44273d9771252f112ef3e216284,VALID,,
129_PNG.rf.e2315e559ba10bc32f9faf6648a20485,VALID,,
12_PNG.rf.73b3e6bcbaed30824295503fed0c8076,VALID,,
12_PNG.rf.a8c87e0309ba1b58be7c1ae8b1de7782,VALID,,
12_PNG.rf.af2e05bdf4cceeef461da1fe54a65b95,VALID,,
12_PNG.rf.b9a426d309557bc87bec304f7df693fa,VALID,,
130_jpg.rf.4b0c8c8e89b6e5a438911aeb9ee90c5f,VALID,,
130_jpg.rf.6d4af915cd560f08c4f13ed7cef41f0f,VALID,,
130_PNG.rf.997de4784a48892adadf9a196bf05e4a,VALID,,
130_PNG.rf.c4566105efdaedc06c0c9e3ea0de2f4a,VALID,,
131_jpg.rf.579b8fc51a7038024c2dfed5c7a25f4c,VALID,,
131_PNG.rf.c7ee750ac8b2c31be789131c141d5563,VALID,,
131_PNG.rf.d77bae62a89196703ea214dc429f4f1b,VALID,,
133_jpg.rf.d40d7035cfef9c55162b4efb6fb8543a,VALID,,
133_PNG.rf.9170512df614186f68a8ee93cd7eecdb,VALID,,
133_PNG.rf.b78b1b601f61ff414d82a1859f090379,VALID,,
134_jpg.rf.c62bc6ce53af8139fb968718ce6c4fa4,VALID,,
134_PNG.rf.71e28ccd7ca934ae40987cab49e5e937,VALID,,
134_PNG.rf.f3f1e0deecb7cf3849c1532e4fb1a8dc,VALID,,
135_jpg.rf.272386c1171dcfcdfa39c5e8c6a3b5d8,VALID,,
135_PNG.rf.7ab4c9c043e03d23237fc3b477a78f0b,VALID,,
137_jpg.rf.4e04e95be6825b20b02d4687fa66b45e,VALID,,
137_PNG.rf.083bb401260e71da30b4f0b5e30c9957,VALID,,
137_PNG.rf.f89805857494efee983ae9e4cb6b12d7,VALID,,
138_jpg.rf.c9c07c679484e09e926677b25833f5a1,VALID,,
138_PNG.rf.3cfb3a56fe93157f54afc06e5ad8595a,VALID,,
138_PNG.rf.706423cbf412db3b70335a4ca7e988bb,VALID,,
139_jpg.rf.63ab8f9258993d56cd9e7753e7bd0c57,VALID,,
139_jpg.rf.f421598195ad697ca9a0b9c3c3fbc290,VALID,,
139_PNG.rf.048d4fb5fe12a4940a012403cdad05aa,VALID,,
139_PNG.rf.ec92f773992e37bd6b0149329a5129dd,VALID,,
13_PNG.rf.031713a16f19eb8dc77aa3310f9779f0,VALID,,
13_PNG.rf.0813ea85cdec5da03b022fceac0de837,VALID,,
13_PNG.rf.9a9db85491c0fb4a75bb0341a66ecd70,VALID,,
140_PNG.rf.b716ca0734d867d73f578125b254bcaf,VALID,,
140_PNG.rf.eec448f756d53f837b53d889dae350c0,VALID,,
141_jpg.rf.a336f554d72118b97d93f1a82ce72463,VALID,,
141_PNG.rf.53944d8811ad8f79f6ad40c898c07a01,VALID,,
141_PNG.rf.a4f3b62e8481cee204eb94e926f7a241,VALID,,
142_jpg.rf.611455a07b5964b644f5aead03f8f5d5,VALID,,
142_jpg.rf.b939f574302b6858e850c378ece06205,VALID,,
142_PNG.rf.0c4d9efb8fad5d061be2908ffcf4b837,VALID,,
142_PNG.rf.d2d0ca6368a8a7fc49ff8fdff88420bd,VALID,,
143_jpg.rf.60970bb7cf1320ca0375622adc72128c,VALID,,
144_jpg.rf.a21c4bb5b89790bee27dfa9937d43c7c,VALID,,
144_jpg.rf.dc42eb5f6ae50cae8beec5a417e13f19,VALID,,
144_PNG.rf.2d2d8c92006d4dd6ffab1cb267ea4670,VALID,,
145_jpg.rf.8684551850206e3323b16628f3105799,VALID,,
145_jpg.rf.c8c19001792f1cea33a5d2ed497d7109,VALID,,
145_PNG.rf.cdbb5ea3d473a7e37933eeababbce833,VALID,,
146_jpg.rf.4097e2eadbaf04140049e07463a87960,VALID,,
146_PNG.rf.b53bf952cdf76c671727e1c9be668689,VALID,,
147_jpg.rf.3a3967d4dedf1b11451097ca275f9873,VALID,,
147_PNG.rf.76ee51ed94e2e34edb2818c9f65f5655,VALID,,
147_PNG.rf.7a799d789c16c485d39704d175a0da6f,VALID,,
148_jpg.rf.4eab5b6f6a275b5333b0ca199c88474f,VALID,,
148_jpg.rf.7f04b1dc9bc20d4eed7fdece3c952f8f,VALID,,
148_PNG.rf.514e0c4d8104f7a6109e8e5886cf496d,VALID,,
148_PNG.rf.644aa6b8b11362a8632edef9be4f803c,VALID,,
149_jpg.rf.2761299fff42f5406e4ed4c14cfbae68,VALID,,
149_jpg.rf.cf5d6fb143a2f25dd4713ee62e706d37,VALID,,
149_PNG.rf.26f303fe89d55a02cd7fc5099a86bbd2,VALID,,
149_PNG.rf.4843f52077a6722ed0f7c04f77d4877c,VALID,,
14_PNG.rf.0b0675388ac29d7101c5cdaae96945d0,VALID,,
14_PNG.rf.15281a9f05402f9733807d19d2a86185,VALID,,
14_PNG.rf.2c6ec3578b72f9bcc44e12fc74e41ffa,VALID,,
14_PNG.rf.525611f7be8e10c6a8848f8930a6d413,VALID,,
14_PNG.rf.729127e0ceb22cde755d08d9b965e6c2,VALID,,
150_jpg.rf.c95e188c657cd3e306b9acf4d8c46f38,VALID,,
150_PNG.rf.5228b2c4d78cf47757b1a22b1369ee20,VALID,,
