epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1709,1.02561,3.10514,1.63206,0.20741,0.75261,0.25278,0.16471,1.17759,2.42175,2.30027,0.000367897,0.000367897,0.000367897
2,63.0603,1.07288,2.36169,1.63333,0.30191,0.61538,0.31975,0.21764,1.04933,2.64447,2.07936,0.000733358,0.000733358,0.000733358
3,92.5341,1.0582,2.06788,1.60347,0.27808,0.53934,0.32593,0.2232,1.05565,3.06955,2.19554,0.00109393,0.00109393,0.00109393
4,121.875,1.0384,1.91136,1.56901,0.42136,0.6359,0.45349,0.26201,1.33849,1.90711,2.31797,0.001089,0.001089,0.001089
5,151.423,1.02596,1.83332,1.58796,0.44938,0.7379,0.50618,0.35043,1.10334,1.63023,2.11708,0.00108167,0.00108167,0.00108167
6,180.558,1.01324,1.72064,1.5619,0.39628,0.73952,0.56346,0.37951,1.11978,1.53448,2.17335,0.00107434,0.00107434,0.00107434
7,210.788,0.98531,1.66694,1.54842,0.37577,0.71028,0.51164,0.34719,1.10814,1.53102,2.23647,0.001067,0.001067,0.001067
8,239.657,1.01408,1.62727,1.55884,0.48406,0.75385,0.55777,0.36776,1.18704,1.53182,2.15824,0.00105967,0.00105967,0.00105967
9,269.129,0.98708,1.59781,1.54963,0.39099,0.65888,0.53341,0.37688,1.03392,1.56388,2.01754,0.00105234,0.00105234,0.00105234
10,297.963,0.96217,1.53332,1.52115,0.55843,0.68715,0.65184,0.46168,1.03872,1.17827,1.96629,0.00104501,0.00104501,0.00104501
11,326.789,0.96085,1.48963,1.50492,0.43509,0.65393,0.58902,0.41942,1.03421,1.33728,1.96803,0.00103767,0.00103767,0.00103767
12,355.7,0.93345,1.47384,1.49757,0.55356,0.72533,0.63659,0.4624,1.01843,1.40699,1.91975,0.00103034,0.00103034,0.00103034
13,384.225,0.96857,1.46049,1.50911,0.4919,0.69964,0.63005,0.45095,1.03314,1.34512,1.99642,0.00102301,0.00102301,0.00102301
14,413.12,0.94678,1.43603,1.50368,0.44815,0.7156,0.66987,0.48901,0.9678,1.27638,1.87127,0.00101568,0.00101568,0.00101568
15,442.246,0.94981,1.39969,1.51685,0.49794,0.72058,0.62426,0.44297,1.04513,1.39035,1.9307,0.00100834,0.00100834,0.00100834
16,471.024,0.93557,1.34169,1.47798,0.51615,0.71416,0.70413,0.50524,1.00387,1.24352,1.93884,0.00100101,0.00100101,0.00100101
17,499.507,0.93939,1.33967,1.48652,0.59922,0.73179,0.71004,0.52507,0.99928,1.15511,1.92746,0.000993678,0.000993678,0.000993678
18,528.325,0.91596,1.30593,1.46375,0.71145,0.69639,0.75733,0.56092,0.9595,1.03814,1.85162,0.000986346,0.000986346,0.000986346
19,556.826,0.9309,1.34356,1.48721,0.56074,0.67212,0.70915,0.50194,1.02326,1.1903,1.91908,0.000979013,0.000979013,0.000979013
20,585.304,0.91681,1.29935,1.47305,0.70824,0.71799,0.7603,0.51996,1.12885,1.04917,2.05459,0.000971681,0.000971681,0.000971681
21,613.925,0.9037,1.29423,1.45936,0.57497,0.73418,0.74799,0.55347,0.96156,1.04522,1.89358,0.000964348,0.000964348,0.000964348
22,642.801,0.91333,1.29697,1.46863,0.71327,0.72011,0.76582,0.57935,0.91867,0.98847,1.77396,0.000957015,0.000957015,0.000957015
23,671.291,0.89388,1.27581,1.44122,0.6364,0.73451,0.7458,0.55393,0.94581,0.99576,1.8259,0.000949683,0.000949683,0.000949683
24,700.044,0.90058,1.25186,1.45994,0.65289,0.7645,0.79561,0.59489,0.94443,0.98908,1.78497,0.00094235,0.00094235,0.00094235
