frame,v8_count,v26_count,v8_conf,v26_conf
1,2,2,0.8450146913528442,0.8677584528923035
2,2,2,0.8490009307861328,0.7491496801376343
3,2,2,0.8557039499282837,0.8032225370407104
4,2,2,0.8504735231399536,0.7668341994285583
5,2,2,0.8542715311050415,0.7295246124267578
6,2,2,0.8636570572853088,0.6258671879768372
7,2,2,0.8547635078430176,0.7775030136108398
8,2,2,0.8649800419807434,0.776319146156311
9,2,2,0.858917236328125,0.8395777940750122
10,2,2,0.8571152091026306,0.7442421913146973
11,2,2,0.8509581089019775,0.8640283346176147
12,2,2,0.8564504384994507,0.8708677291870117
13,2,2,0.8425456285476685,0.8152650594711304
14,2,2,0.8465087413787842,0.7336207628250122
15,2,2,0.8497104644775391,0.8305200934410095
16,2,2,0.8453295230865479,0.7183188199996948
17,2,3,0.8530979752540588,0.5136010050773621
18,2,1,0.845845103263855,0.8225809335708618
19,2,2,0.853856086730957,0.7526156902313232
20,2,2,0.8466021418571472,0.8557382225990295
21,2,2,0.8603736162185669,0.8673548698425293
22,2,2,0.8601705431938171,0.682439923286438
23,2,2,0.8555715084075928,0.8796529769897461
24,2,2,0.8529341220855713,0.7762273550033569
25,2,2,0.8491255044937134,0.8358568549156189
26,2,2,0.855082094669342,0.788475751876831
27,2,3,0.8470757007598877,0.6521465182304382
28,2,3,0.8448334336280823,0.6138735413551331
29,2,1,0.8541070222854614,0.8013439774513245
30,2,2,0.8470742702484131,0.8763467073440552
31,2,2,0.8463513255119324,0.8559754490852356
32,2,2,0.8537054061889648,0.7613452672958374
33,2,2,0.8499159812927246,0.7222836017608643
34,2,2,0.8374007940292358,0.8894515633583069
35,2,3,0.8422184586524963,0.7710318565368652
36,2,3,0.8311991691589355,0.8396825790405273
37,2,1,0.8497556447982788,0.8378034830093384
38,2,2,0.8456884622573853,0.8589493632316589
39,2,2,0.8427594900131226,0.8183467388153076
40,2,2,0.8617458939552307,0.7555372714996338
41,2,3,0.8554116487503052,0.6840437054634094
42,2,3,0.8570423126220703,0.5813340544700623
43,2,3,0.8637802600860596,0.5906190276145935
44,2,3,0.8552908301353455,0.6454772353172302
45,2,1,0.8378427028656006,0.8334587216377258
46,2,2,0.8446438908576965,0.7086592316627502
47,2,3,0.8374291658401489,0.6784271597862244
48,2,1,0.848421573638916,0.855812668800354
49,2,2,0.8448549509048462,0.7694743871688843
50,2,2,0.8320263028144836,0.7167192697525024
51,2,2,0.8386563062667847,0.8178936243057251
52,2,2,0.8372759222984314,0.7579202651977539
53,2,2,0.8456275463104248,0.6954617500305176
54,2,3,0.8311405777931213,0.5460686087608337
55,2,2,0.8409135341644287,0.5685194730758667
56,2,1,0.8255518674850464,0.9106635451316833
57,2,2,0.8324569463729858,0.8705713152885437
58,2,2,0.8475819230079651,0.8953016996383667
59,2,2,0.8281129598617554,0.9000235795974731
60,2,2,0.8414037227630615,0.8470250368118286
61,2,2,0.8645545840263367,0.8986753225326538
62,2,2,0.8533611297607422,0.8921549916267395
63,2,3,0.8464044332504272,0.7669129371643066
64,2,3,0.841650664806366,0.7586639523506165
65,2,3,0.8409919738769531,0.7619709968566895
66,2,3,0.85074782371521,0.4705761969089508
67,2,3,0.8526715040206909,0.49319157004356384
68,2,3,0.8506890535354614,0.4504168927669525
69,2,1,0.8552919626235962,0.8798317313194275
70,2,2,0.8531904220581055,0.7303083539009094
71,2,2,0.8428115844726562,0.8093339204788208
72,2,2,0.8443359136581421,0.7223553657531738
73,2,2,0.8398520946502686,0.861940324306488
74,2,2,0.8479722142219543,0.8452881574630737
75,2,2,0.8401305675506592,0.879440426826477
76,2,2,0.8147130012512207,0.885912299156189
77,2,2,0.8405718803405762,0.831337571144104
78,2,2,0.8289132714271545,0.8125913143157959
79,2,2,0.8253661394119263,0.784642219543457
80,2,2,0.829834520816803,0.7073079347610474
81,2,3,0.8457341194152832,0.5833162069320679
82,2,1,0.8512522578239441,0.906850278377533
83,2,2,0.8306295275688171,0.6465885043144226
84,2,2,0.8410736918449402,0.8218407034873962
85,2,2,0.8351501226425171,0.7728149890899658
86,2,2,0.8313257694244385,0.6749648451805115
87,2,2,0.832105278968811,0.8640475869178772
88,2,2,0.826596200466156,0.8441793918609619
89,2,2,0.8156132698059082,0.8364520072937012
90,2,2,0.8175045847892761,0.825676441192627
91,2,2,0.7947739362716675,0.6967334747314453
92,2,2,0.7902188301086426,0.6913225650787354
93,2,2,0.7895703911781311,0.721052885055542
94,2,2,0.7727526426315308,0.7072016000747681
95,2,2,0.7427339553833008,0.48876479268074036
96,2,2,0.7127755284309387,0.540804922580719
97,2,2,0.7251020669937134,0.5564967393875122
98,2,2,0.737845778465271,0.542265772819519
99,2,2,0.733922004699707,0.5321624875068665
100,2,2,0.695160984992981,0.7374141216278076
101,2,2,0.7071926593780518,0.43697142601013184
102,2,2,0.6991795897483826,0.5761898756027222
103,2,2,0.692462682723999,0.5269275307655334
104,2,3,0.6904358267784119,0.5371646285057068
105,2,3,0.6774681210517883,0.5791888236999512
106,2,3,0.6501146554946899,0.560832679271698
107,2,3,0.6324009299278259,0.5477374792098999
108,2,3,0.6385259032249451,0.4260934889316559
109,2,3,0.6463748216629028,0.5394073128700256
110,2,3,0.6149483323097229,0.36636242270469666
111,2,3,0.6449201107025146,0.49645698070526123
112,2,3,0.6363676190376282,0.4040576219558716
113,2,3,0.6541423797607422,0.33237871527671814
114,2,3,0.6207363605499268,0.4539847671985626
115,2,3,0.6319828033447266,0.4075176417827606
116,2,3,0.6217325925827026,0.48162439465522766
117,2,3,0.6333205699920654,0.4525490701198578
118,2,3,0.6398935317993164,0.4697047770023346
119,2,3,0.6246211528778076,0.4606459438800812
120,2,3,0.6278996467590332,0.4615892469882965
121,2,3,0.6275866031646729,0.4498941898345947
122,2,3,0.6121618747711182,0.4418565034866333
123,2,3,0.6266978979110718,0.4290386438369751
124,2,3,0.6243705749511719,0.45817068219184875
125,2,3,0.6094321012496948,0.31993547081947327
126,2,2,0.5785301923751831,0.41391801834106445
127,2,2,0.5994469523429871,0.5223330855369568
128,2,2,0.5762571096420288,0.3949713110923767
129,2,2,0.5424357056617737,0.47855883836746216
130,2,2,0.531956672668457,0.5253391265869141
131,2,2,0.5623608231544495,0.5135213136672974
132,2,2,0.5571801662445068,0.48817622661590576
133,2,1,0.5145024061203003,0.8873232007026672
